norm_title,tconst,titleType,startYear,runtimeMinutes,genres,averageRating,numVotes
the belko experiment,tt1082807,movie,2016,89,"Action,Horror,Thriller",6.2,66702.0
eddie the eagle,tt1083452,movie,2015,106,"Adventure,Biography,Comedy",7.3,107127.0
the matrix resurrections,tt10838180,movie,2021,148,"Action,Sci-Fi",5.6,301818.0
missing,tt10855768,movie,2023,111,"Drama,Mystery,Thriller",7.1,71343.0
bill ted face the music,tt1086064,movie,2020,91,"Adventure,Comedy,Music",5.9,56493.0
blended,tt1086772,movie,2014,117,"Comedy,Romance",6.5,157242.0
spiderman no way home,tt10872600,movie,2021,148,"Action,Adventure,Fantasy",8.1,1010080.0
365 days,tt10886166,movie,2020,114,"Drama,Romance",3.3,108036.0
radhe,tt10888594,movie,2021,109,"Action,Thriller",1.8,181624.0
mimi,tt10895576,movie,2021,132,"Comedy,Drama",7.8,46092.0
lone survivor,tt1091191,movie,2013,121,"Action,Biography,Drama",7.5,323003.0
freaky,tt10919380,movie,2020,102,"Comedy,Horror,Thriller",6.3,81181.0
paul,tt1092026,movie,2011,104,"Adventure,Comedy,Sci-Fi",6.9,280998.0
the darkest hour,tt1093357,movie,2011,89,"Action,Adventure,Horror",4.9,66057.0
titane,tt10944760,movie,2021,108,"Drama,Horror,Sci-Fi",6.4,65768.0
antman and the wasp quantumania,tt10954600,movie,2023,124,"Action,Adventure,Comedy",6.0,267504.0
old,tt10954652,movie,2021,108,"Drama,Mystery,Thriller",5.8,182659.0
nope,tt10954984,movie,2022,130,"Horror,Mystery,Sci-Fi",6.8,313760.0
things heard seen,tt10962368,movie,2021,121,"Drama,Horror,Mystery",5.3,40400.0
cmon cmon,tt10986222,movie,2021,109,Drama,7.3,42635.0
spirited,tt10999120,movie,2022,127,"Comedy,Family,Fantasy",6.6,59435.0
foxcatcher,tt1100089,movie,2014,134,"Biography,Drama,History",7.0,154805.0
pig,tt11003218,movie,2021,92,"Drama,Mystery",6.9,104083.0
the babysitter killer queen,tt11024272,movie,2020,101,"Comedy,Horror",5.8,59474.0
haseen dillruba,tt11027830,movie,2021,135,"Crime,Drama,Mystery",6.9,34997.0
killers,tt1103153,movie,2010,100,"Action,Comedy,Romance",5.5,99586.0
demon slayer kimetsu no yaiba the movie mugen train,tt11032374,movie,2020,117,"Action,Adventure,Animation",8.2,99489.0
tron legacy,tt1104001,movie,2010,125,"Action,Adventure,Sci-Fi",6.8,386319.0
toofaan,tt11045422,movie,2021,163,"Drama,Sport",6.1,53238.0
madame web,tt11057302,movie,2024,116,"Action,Thriller",4.1,113786.0
the christmas chronicles part two,tt11057644,movie,2020,112,"Adventure,Comedy,Family",6.0,40851.0
the map of tiny perfect things,tt11080108,movie,2021,98,"Comedy,Fantasy,Romance",6.8,33206.0
wrath of man,tt11083552,movie,2021,119,"Action,Crime,Thriller",7.1,237052.0
paddington,tt1109624,movie,2014,95,"Adventure,Comedy,Family",7.3,155534.0
spaceman,tt11097384,movie,2024,107,"Adventure,Drama,Romance",5.7,46888.0
troll,tt11116912,movie,2022,101,"Action,Adventure,Drama",5.8,58520.0
boiling point,tt11127680,movie,2021,92,"Drama,Thriller",7.5,55696.0
the northman,tt11138512,movie,2022,137,"Action,Adventure,Drama",7.0,297517.0
creed iii,tt11145118,movie,2023,116,"Action,Drama,Sport",6.7,106526.0
if,tt11152168,movie,2024,104,"Animation,Comedy,Drama",6.4,65819.0
pieces of a woman,tt11161474,movie,2020,126,Drama,7.0,59993.0
jackass 3d,tt1116184,movie,2010,94,"Action,Comedy,Documentary",7.0,70867.0
the card counter,tt11196036,movie,2021,111,"Crime,Drama,Thriller",6.2,47002.0
she said,tt11198810,movie,2022,129,"Crime,Drama,History",7.3,49180.0
blue valentine,tt1120985,movie,2010,112,"Drama,Romance",7.3,224662.0
seventh son,tt1121096,movie,2014,102,"Action,Adventure,Fantasy",5.5,84621.0
house of gucci,tt11214590,movie,2021,158,"Biography,Crime,Drama",6.6,174243.0
the unforgivable,tt11233960,movie,2021,112,"Crime,Drama,Mystery",7.2,127631.0
the voyeurs,tt11235772,movie,2021,116,"Drama,Mystery,Romance",6.1,48105.0
the ides of march,tt1124035,movie,2011,101,"Drama,Thriller",7.1,238588.0
free state of jones,tt1124037,movie,2016,139,"Action,Biography,Drama",6.9,67990.0
